"Range","Prefix","Number","My Payterm","My Payout","Limits"
"Ghana","","233201915227","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233200704879","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233202322431","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233203146752","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233206767417","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233209360486","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233202160551","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233203862710","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233505409272","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233205566936","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233208215704","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233205860171","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233506826838","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233204314525","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233501885413","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233206345942","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233209768113","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233501620322","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233206006939","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233500400929","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233501161652","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233205890245","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233204234029","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233209659487","Weekly","$ 0","SD : 0 | SW : 0"
"Ghana","","233508452054","Weekly","$ 0","SD : 0 | SW : 0"
