"Range","Prefix","Number","My Payterm","My Payout","Limits"
"Central African","","23675315377","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23676155065","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23675154862","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23676233293","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23675467518","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23675076719","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23676558990","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23675976514","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23676720568","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23676771494","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23676976920","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23676780519","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23675831166","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23676011910","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23675387606","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23676857827","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23676014045","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23676739251","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23676229311","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23676915502","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23675440028","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23676840460","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23675200067","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23675502461","Weekly","$ 0","SD : 0 | SW : 0"
"Central African","","23676099389","Weekly","$ 0","SD : 0 | SW : 0"
